"expt_date,12/07/2018 14:18"
"subj_name,1207185_wmPrecis01"
"seed,1544213920"
"restarting,False"
"env,booth"
"save_dir,./../subjects/"
"debug,False"
"project_dir,./../"

"expt_date,12/07/2018 14:18"
"subj_name,1207185_wmPrecis01"
"seed,1544213939"
"restarting,False"
"env,booth"
"save_dir,./../subjects/"
"debug,False"
"project_dir,./../"

block,trial,colorind,colordeg,colorrgb0,colorrgb1,colorrgb2,wm_respdeg,wm_colorind,wm_colorrgb0,wm_colorrgb1,wm_colorrgb2,wm_degdiff,wm_rts,timeBlockStart,timeEncArrayOnset,timeEncArrayOffset,timeProbeOnset,timeProbeOffset
0,23,262,184.21875,0.416452475899,0.2804144186,0.652815538838,-85.9681989019,250.0,0.546428449327,0.232286661223,0.654747725831,-8.25055109807,4.71504895994,36.4761473588,190.619240399,191.427610163,192.436013967,197.161656847
0,24,118,82.96875,1.0,-0.308588151016,-0.261285249573,6.0226868979,119.0,1.0,-0.309446327048,-0.250710895617,1.0085631021,4.55522927782,36.4761473588,198.186776174,198.995234604,200.003690296,204.562621273
0,25,276,194.0625,0.268710435127,0.329430325417,0.627563005949,-90.7777229943,257.0,0.470472903111,0.261039853404,0.655841377839,-13.2847770057,1.73012488941,36.4761473588,205.587761698,206.396251773,207.404647024,209.138215031
0,26,148,104.0625,1.0,-0.272695592461,0.0444264621409,-4.67741785888,135.0,1.0,-0.303502321856,-0.0849788702499,-9.38508214112,1.93843073491,36.4761473588,210.163380258,210.97180191,211.980240211,213.922151126
0,27,254,178.59375,0.503011129055,0.248947817922,0.65613358125,-87.0262689175,252.0,0.524721685615,0.240693665738,0.655694012224,-1.56748108248,1.61842473643,36.4761473588,214.947272733,215.755735154,216.764192842,218.38939804
0,28,460,323.4375,0.415848916989,0.383334931935,-1.0,132.202756477,452.0,0.351738073422,0.401406211611,-1.0,-5.64025647717,4.12706545694,36.4761473588,219.41455215,220.222974657,221.231440612,225.365325019
0,29,322,226.40625,-0.105067232891,0.43811622051,0.383559350674,-151.576103356,344.0,-0.172543464245,0.464730234515,0.195503824632,15.1698533562,2.02303298749,36.4761473588,226.390415267,227.19890192,228.207339651,230.240936623
0,30,235,165.234375,0.707591924495,0.164537776567,0.631659631194,-83.1363080854,246.0,0.589768841079,0.215019897151,0.651339528662,7.90193308537,1.4993080697,36.4761473588,231.266108124,232.074516946,233.082968647,234.591507587
0,31,97,68.203125,1.0,-0.260369742894,-0.491718830742,5.65948184016,120.0,1.0,-0.310161497659,-0.240162905937,16.1373931598,2.69264261564,36.4761473588,235.61665685,236.425078216,237.433531058,240.133915483
0,32,272,191.25,0.310166696092,0.316214117232,0.637281430288,-92.3640795859,259.0,0.44882283482,0.268906983076,0.655011783756,-8.88592041408,2.33412713837,36.4761473588,241.159062179,241.967456461,242.975920992,245.317894855
