block,trial,trials_colorind,trials_colorrgb0,trials_colorrgb1,trials_colorrgb2,wm_respdeg,wm_respdeg_in_colorspace,wm_respcolorminusorigcolor,wm_resptexind,wm_resptexrgb0,wm_resptexrgb1,wm_resptexrgb2,wm_rts,time_blockstart,time_encarray_offset,time_encarray_onset,time_iti_offset,time_iti_onset,time_memprobe_offset,time_memprobe_onset
1,11,165,1.0,-0.205056383665,0.203745440608,-19.1684251335,109.168425134,-6.84719986648,155.0,1.0,-0.2479831371,0.111611878621,1.00106540788,28.052366619,69.5597127136,70.3681372162,72.3933831267,73.3934626686,71.3765960443,72.3850543024
1,12,7,0.9030914636,0.181853060355,-1.0,85.6199395449,4.38006045506,-0.541814544936,6.0,0.895129075663,0.186272780825,-1.0,1.83050469588,28.052366619,73.4102041353,74.2186312038,77.0690134331,78.0686174333,75.2270934531,77.0606672182
1,13,184,1.0,-0.107671891867,0.362640045218,-49.8252169271,139.825216927,10.4502169271,199.0,1.0,-0.0246761787097,0.468786302982,1.37074898975,28.052366619,78.0858067875,78.8942364217,81.2862328365,82.2857906511,79.90270979,81.277876643
1,14,98,1.0,-0.263822910468,-0.480217789416,13.2558724817,76.7441275183,7.83787751832,109.0,1.0,-0.294638327523,-0.357773695079,1.30545977876,28.052366619,82.3030604026,83.1114478423,85.4367418201,86.4359255875,84.1199080963,85.4284141366
1,15,272,0.310166696092,0.316214117232,0.637281430288,-94.320804955,184.320804955,-6.92919504502,262.0,0.416452475899,0.2804144186,0.652815538838,0.922813691199,28.052366619,86.4536246951,87.261991323,89.2122324863,90.2120677005,88.2704669717,89.2039090791
1,16,320,-0.0946500390753,0.43494401576,0.398701238857,-132.651646687,222.651646687,-2.3483533131,317.0,-0.077772836126,0.429938605076,0.420733606481,1.66730632912,28.052366619,90.2290443722,91.0374868358,93.7294728728,94.7292134347,92.0459325495,93.7211540272
1,17,18,0.988682696815,0.131162580546,-1.0,81.7241071729,8.27589282708,-4.38035717292,12.0,0.942476689623,0.159273951266,-1.0,1.12590910308,28.052366619,94.7462961623,95.5547620039,97.705107057,98.7043461329,96.5632191217,97.6966587771
1,18,415,0.0813077335083,0.459153678902,-0.614968023274,168.838373785,281.161626215,-10.6352487854,400.0,-0.0107874812989,0.471427301814,-0.412692688905,1.10231304867,28.052366619,98.7218519445,99.5302433758,101.655489629,102.655519849,100.538716174,101.647214117
1,19,351,-0.175686286722,0.4701852659,0.128489978773,-149.08132275,239.08132275,-7.71555224986,340.0,-0.166837174664,0.460980112934,0.232376404312,0.863756415434,28.052366619,102.6723209,103.480765075,105.364319482,106.363598757,104.48921535,105.355980965
1,20,461,0.423959648591,0.380927367285,-1.0,-105.210426216,195.210426216,-128.930198784,278.0,0.248285521772,0.335802812283,0.621962573991,0.930859128479,28.052366619,106.381143342,107.189601771,109.139809293,110.139785915,108.19801926,109.131488737
